Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
E_PA_18.2.1,Acute Myeloid Leukemia (AML),"- Etiopathogenesis
- Clinical features
- Lab investigations",True,1,2006-08,,n=PA-rbpbdsa&ed=10&vol=1#617,
E_PA_18.2.2,Chronic Myeloproliferative Disorders,,True,1,2007-08,,n=PA-rbpbdsa&ed=10&vol=1#621,
S_PA_13.1.1,Myelodysplastic Syndrome,,True,2,2016-02;2007-08,,n=PA-rbpbdsa&ed=10&vol=1#620,
S_PA_19.4.1,Hodgkin's lymphoma,- Classification of Hodgkin's lymphoma;- Morphology and types;- Pathological types;- Subtypes of Hodgkin's lymphoma;- Molecular pathogenesis and Morphology;- AETCOM: Empathising and Supporting your friend (18/M) with Hodgkin's lymphoma,True,6,2022-08;2022-03;2021-09;2015-02;2013-08;2007-08,,n=PA-rbpbdsa&ed=10&vol=1#611,
S_PA_20.1.1,Multiple Myeloma,- Blood and bone marrow picture;-Morphology,True,7,2023-07;2023-02;2022-03;2022-02;2019-02;2013-08;2011-08,A 70 year old woman admitted with worsening anemia and pathological fracture of the Humerus had an ESR of 120 mm/hr. Her peripheral smear showed increased Rouleaux formation. X-ray of skull showed multiple punched out osteolytic lesions.,n=PA-rbpbdsa&ed=10&vol=1#607,
E_PA_20.1.1,Multiple Myeloma,"- Diagnosis
- Etiopathogenesis
- Bone marrow changes
- Lab investigations
- Complications;- Diagnosis
- Molecular pathogenesis
- Morphology
- Clinical features",True,2,2012-02;2011-02,"A 60 year old male presented with normocytic normochromic anaemia, pathological fracture of femur and proteinuria. X-ray skull revealed punched out lesions in the calvarium and peripheral smear studied show rouleaux formation.;A 60 year old male presented with low back ache. He had multiple lytic lesions of bones on skeletal survey. Serum electrophoresis and bone narrow was done to establish diagnosis.",n=PA-rbpbdsa&ed=10&vol=1#607,
S_PA_13.1.2,Primary Myelofibrosis,,True,2,2015-08;2012-02,,n=PA-rbpbdsa&ed=10&vol=1#626,
S_PA_13.1.1,Pseudo Pelger-Huët Anomaly,,True,1,2012-02,,n=PA-rbpbdsa&ed=10&vol=1#620,
S_PA_20.1.1.1,Russell Bodies,,True,2,2017-02;2014-08,,n=PA-rbpbdsa&ed=10&vol=1#608,
S_PA_,Leucocyte Alkaline Phosphatase,,True,1,2014-08,,,
S_PA_13.1.3,Langerhans Cell Histiocytosis,,True,1,2015-08,,n=PA-rbpbdsa&ed=10&vol=1#627,
